GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ecommerce,com.hcl.ecommerce.dto,LoginDto,17,17,0,0,1,4,1,5,1,5
ecommerce,com.hcl.ecommerce.dto,StoreReviewDto,26,17,0,0,2,4,2,5,2,5
ecommerce,com.hcl.ecommerce.dto,StoreResponseDto,17,17,0,0,1,4,1,5,1,5
ecommerce,com.hcl.ecommerce.dto,StoreRequestDto,17,17,0,0,1,4,1,5,1,5
ecommerce,com.hcl.ecommerce.dto,UserResponseDto,17,17,0,0,1,4,1,5,1,5
ecommerce,com.hcl.ecommerce.dto,StoreReviewResponseDto,17,17,0,0,1,4,1,5,1,5
ecommerce,com.hcl.ecommerce.dto,UserRequestDto,22,24,0,0,1,5,1,7,1,7
ecommerce,com.hcl.ecommerce.dto,StoreProductDto,27,31,0,0,1,6,1,9,1,9
ecommerce,com.hcl.ecommerce.dto,StoreProductResponseDto,17,17,0,0,1,4,1,5,1,5
ecommerce,com.hcl.ecommerce.dto,ProductNameResponseDto,27,31,0,0,1,6,1,9,1,9
ecommerce,com.hcl.ecommerce.dto,LoginResponseDto,17,17,0,0,1,4,1,5,1,5
ecommerce,com.hcl.ecommerce.dto,ProductNameDto,12,10,0,0,1,3,1,3,1,3
ecommerce,com.hcl.ecommerce.entity,User,27,19,0,0,5,2,5,5,5,5
ecommerce,com.hcl.ecommerce.entity,StoreProduct,21,35,0,0,2,6,2,10,2,10
ecommerce,com.hcl.ecommerce.entity,Store,21,15,0,0,4,2,4,4,4,4
ecommerce,com.hcl.ecommerce.entity,Product,36,0,0,0,6,0,8,0,8,0
ecommerce,com.hcl.ecommerce.entity,StoreReview,6,40,0,0,2,5,2,8,2,8
ecommerce,com.hcl.ecommerce.config,SwaggerConfig,14,0,0,0,3,0,2,0,2,0
ecommerce,com.hcl.ecommerce,EcommerceApplication,8,0,0,0,3,0,2,0,2,0
ecommerce,com.hcl.ecommerce.controller,LoginController,0,21,0,0,0,5,0,3,0,3
ecommerce,com.hcl.ecommerce.controller,UserController,0,21,0,0,0,5,0,3,0,3
ecommerce,com.hcl.ecommerce.controller,StoreController,0,21,0,0,0,5,0,3,0,3
ecommerce,com.hcl.ecommerce.controller,StoreProductController,0,35,0,0,0,9,0,4,0,4
ecommerce,com.hcl.ecommerce.controller,StoreReviewController,0,32,0,0,0,7,0,4,0,4
ecommerce,com.hcl.ecommerce.service,StoreReviewServiceImpl,8,113,0,2,0,19,1,5,1,4
ecommerce,com.hcl.ecommerce.service,StoreProductServiceImpl,0,68,0,2,0,19,0,5,0,4
ecommerce,com.hcl.ecommerce.service,LoginServiceImpl,0,45,0,2,0,13,0,4,0,3
ecommerce,com.hcl.ecommerce.service,StoreServiceImpl,0,34,0,0,0,10,0,3,0,3
ecommerce,com.hcl.ecommerce.service,UserServiceImpl,0,34,0,0,0,10,0,3,0,3
